pub_date	title	venue	author	excerpt	citation	paper_url	download_url
2021-01-01	The Generalized Reserve Set Covering Problem with Connectivity and Buffer Requirements	Eur. J. Oper. Res. 289(3): 1013-1029	E. Alvarez-Miranda, M. Goycoolea, I. Ljubić, M. Sinnl			https://www.sciencedirect.com/science/article/abs/pii/S0377221719305818	publications/grsccb-techreport.pdf
2020-01-01	A polyhedral study of the diameter constrained minimum spanning tree problem	 Discret. Appl. Math. 285: 364-379	L. Gouveia, M. Leitner, I. Ljubić			https://www.sciencedirect.com/science/article/abs/pii/S0166218X20302614	publications/dmstp-tr.pdf
2020-01-01	Preface: Decomposition Methods for Hard Optimization Problems	Ann. Oper. Res. 284(2): 483-485	F. Furini, I. Ljubić, E. Traversi			http://link.springer.com/article/10.1007/s10479-019-03415-8	
2020-01-01	Location of Charging Stations in Electric Car Sharing Systems	Transp. Sci. 54(5): 1408-1438	G. Brandstätter, M. Leitner, and I. Ljubić			https://pubsonline.informs.org/doi/10.1287/trsc.2019.0931	http://www.optimization-online.org/DB_FILE/2017/03/5933.pdf
2020-01-01	On Integer and Bilevel Formulations for the k-Vertex Cut Problem	Math. Program. Comput. 12(2): 133-164	F. Furini, I. Ljubić, E. Malaguti, P. Paronuzzi			https://rdcu.be/bMFkX	publications/kVertexCut_rev.pdf
2019-01-01	The Incremental Connected Facility Location Problem	Comput. Oper. Res. 112	A. Arulselvan, A. Bley, I. Ljubić			https://doi.org/10.1016/j.cor.2019.104763
2019-01-01	A new branch-and-bound algorithm for the maximum edge-weighted clique problem	Eur. J. Oper. Res. 278(1): 76-90	P. San Segundo, S Coniglio, F. Furini, I. Ljubić			https://doi.org/10.1016/j.ejor.2019.03.047	publications/mewc_bb_rev.pdf
2019-01-01	The Maximum Clique Interdiction Problem	Eur. J. Oper. Res. 277(1): 112-127	F. Furini, I. Ljubić, S. Martin, P. San Segundo			https://www.sciencedirect.com/science/article/pii/S0377221719301572?via%3Dihub	http://www.optimization-online.org/DB_FILE/2018/01/6417.pdf
2019-01-01	Benders Decomposition for Very Large Scale Partial Set Covering and Maximal Covering Problems	Eur. J. Oper. Res. 275(3): 882-896	J.F. Cordeau, F. Furini, I. Ljubić			https://www.sciencedirect.com/science/article/abs/pii/S0377221718310737	http://www.optimization-online.org/DB_HTML/2018/06/6665.html
2019-01-01	Exact approaches for the directed network design problem with relays	Omega (91): 102005	M. Leitner, I. Ljubić, M. Riedler, M. Ruthmair			https://doi.org/10.1016/j.omega.2018.11.014	https://www.ac.tuwien.ac.at/files/tr/ac-tr-18-001.pdf
2019-01-01	Interdiction Games and Monotonicity, with Application to Knapsack Problems	INFORMS J. Comput. 31(2): 390-410	M. Fischetti, I. Ljubić, M. Monaci, M. Sinnl			https://pubsonline.informs.org/doi/abs/10.1287/ijoc.2018.0831	publications/interdiction_games_and_monotonicity.pdf
2019-01-01	Exact Approaches for Network Design Problems with Relays	INFORMS J. Comput. 31(1): 171-192	M. Leitner, I. Ljubić, M. Riedler, M. Ruthmair			https://pubsonline.informs.org/doi/abs/10.1287/ijoc.2018.0820	https://www.ac.tuwien.ac.at/files/tr/ac-tr-15-003.pdf
2019-01-01	Tighter MIP formulations for Barge Container Ship Routing	Omega 82: 38-54	L. Alfandari, T. Davidovic, F. Furini, I. Ljubić, V. Maras, S. Martin			http://www.sciencedirect.com/science/article/pii/S0305048317305704	
2018-01-01	A Dual Ascent-Based Branch-and-Bound Framework for the Prize-Collecting Steiner Tree and Related Problems	INFORMS J. Comput. 30(2): 402-420	M. Leitner, I. Ljubić, M. Luipersbeck, M. Sinnl			https://pubsonline.informs.org/doi/abs/10.1287/ijoc.2017.0788	publications/da-TR.pdf
2018-01-01	On the Use of Intersection Cuts for Bilevel Optimization	Math. Program. 172(1-2): 77-103	M. Fischetti, I. Ljubić, M. Monaci, M. Sinnl			http://rdcu.be/vUAs	http://www.dei.unipd.it/~fisch/papers/intersection_cuts_for_bilevel_optimization.pdf
2018-01-01	Outer approximation and submodular cuts for maximum capture facility location problems with random utilities	Eur. J. Oper. Res. 266(1): 46-56	I. Ljubić, E. Moreno			https://doi.org/10.1016/j.ejor.2017.09.023	publications/MaxCapture.pdf
2018-01-01	Decomposition methods for the two-stage stochastic Steiner tree problem	Comput. Optim. Appl. 69(3): 713-752	M. Leitner, I. Ljubić, M. Luipersbeck, M. Sinnl			https://link.springer.com/article/10.1007/s10589-017-9966-x	publications/sstp.pdf
2018-01-01	The Connected Facility Location Polytope	Discret. Appl. Math. 234: 151-167	M. Leitner, I. Ljubić, J.J. Salazar-Gonzalez, M. Sinnl			http://www.sciencedirect.com/science/article/pii/S0166218X16303754	publications/CFLP-theory.pdf
2017-01-01	A new general-purpose algorithm for mixed-integer bilevel linear programs	Oper. Res. 65(6): 1615-1637	M. Fischetti, I. Ljubić, M. Monaci, M. Sinnl			http://pubsonline.informs.org/doi/abs/10.1287/opre.2017.1650	http://www.dei.unipd.it/~fisch/2016_bilevel_branch_and_cut.pdf
2017-01-01	An Effective Dynamic Programming Algorithm for the Minimum-Cost Maximal Knapsack Packing Problem	Eur. J. Oper. Res. 262(2): 438-448	F. Furini, I. Ljubić and M. Sinnl			http://www.sciencedirect.com/science/article/pii/S0377221717302928	http://homepage.univie.ac.at/markus.sinnl/wp-content/uploads/2016/09/MCMKP-techreport.pdf
2017-01-01	Feature Cluster: Recent Advances in Exact Methods for Multi-Objective Optimisation	Eur. J. Oper. Res. 260(3): 805-806	M. Ehrgott, I. Ljubić, and S.N. Parragh			http://www.sciencedirect.com/science/article/pii/S0377221717301091	
2017-01-01	Redesigning Benders Decomposition for Large Scale Facility Location	Manag. Sci. 63(7): 2146-2162	M. Fischetti, I. Ljubić, M. Sinnl			http://pubsonline.informs.org/doi/abs/10.1287/mnsc.2016.2461	publications/ms_final_TR.pdf
2017-01-01	An Algorithmic Framework for the Exact Solution of Tree-Star Problems	Eur. J. Oper. Res. 261(1): 54-66	M. Leitner, I. Ljubić, J.J. Salazar-Gonzalez, and M. Sinnl			http://www.sciencedirect.com/science/article/pii/S0377221717301170	
2017-01-01	A Node-Based ILP Formulation for the Node-Weighted Dominating Steiner Problem	Networks 69(1): 33-51	A. Bley, I. Ljubić, O. Maurer			http://onlinelibrary.wiley.com/doi/10.1002/net.21722/abstract;jsessionid=1D53817C8315BE8FF3AF09205CAB80BD.f03t04	publications/nwst.pdf
2017-01-01	Solving Minimum-Cost Shared Arborescence Problems	Eur. J. Oper. Res. 258(3): 887-901	E. Alvarez-Miranda, I. Ljubić, M. Luipersbeck, M. Sinnl			http://www.sciencedirect.com/science/article/pii/S0377221716309109	publications/MKLSTP-main.pdf
2017-01-01	Thinning out Steiner trees: A node based model for uniform edge costs	Math. Program. Comput. 9(2): 203-229	M. Fischetti, M. Leitner, I. Ljubić, M. Luipersbeck, M. Monaci, M. Resch, D, Salvagnin, M. Sinnl			http://link.springer.com/article/10.1007/s12532-016-0111-0	
2017-01-01	Stochastic Survivable Network Design Problems: Theory and Practice	Eur. J. Oper. Res. 256(2): 333-348	I. Ljubić, P. Mutzel, B. Zey			http://dx.doi.org/10.1016/j.ejor.2016.06.048	publications/TechReport_SSNDP.pdf
2016-01-01	Benders decomposition without separability: A computational study for capacitated facility location problems	Eur. J. Oper. Res. 253(3): 557-569	M. Fischetti, I. Ljubić, M. Sinnl			http://www.sciencedirect.com/science/article/pii/S0377221716301126	http://www.dei.unipd.it/~fisch/papers/Benders_for_CFL.pdf
2016-01-01	A Node-Based Layered Graph Approach for the Steiner Tree Problem withRevenues, Budget and Hop-Constraints	Math. Program. Comput. 8(4): 461-490	M. Sinnl, I. Ljubić			http://link.springer.com/article/10.1007/s12532-016-0102-1	
2016-01-01	ILP heuristics and a new exact method for bi-objective 0/1 ILPs: Application to FTTx-network design	Comput. Oper. Res. 72: 128-146	M. Leitner, I. Ljubić, M. Sinnl, A. Werner			http://www.sciencedirect.com/science/article/pii/S0305054816300302	http://homepage.univie.ac.at/markus.sinnl/wp-content/uploads/2013/09/biobjkarch-techreport.pdf
2015-01-01	The Generalized Regenerator Location Problem	INFORMS J. Comput. 27(2): 204-220	S. Chen, I. Ljubić, S. Raghavan			http://pubsonline.informs.org/doi/abs/10.1287/ijoc.2014.0621	publications/GRLP.pdf
2015-01-01	The Two-Level Diameter Constrained Spanning Tree Problem	Math. Program. 150(1): 49-78	L. Gouveia, M. Leitner, I. Ljubić			http://link.springer.com/article/10.1007%2Fs10107-013-0743-z	https://www.ads.tuwien.ac.at/publications/bib/pdf/leitner-12f.pdf
2015-01-01	A Computational Study of Exact Approaches for the Bi-Objective Prize-Collecting Steiner Tree Problem	INFORMS J. Comput. 27(1): 118-134	M. Leitner, I. Ljubić, M. Sinnl			http://pubsonline.informs.org/doi/abs/10.1287/ijoc.2014.0614	publications/bopcstp_techreport.pdf
2015-01-01	The Recoverable Robust Facility Location Problem	Transportation Research Part B, 79: 93-120	E. Alvarez-Miranda, E. Fernandez, I. Ljubić			http://www.sciencedirect.com/science/article/pii/S0191261515001228	publications/RRUFLP-main.pdf
2015-01-01	The Recoverable Robust Two-Level Network Design Problem	INFORMS J. Comput. 27(1): 1-19	E. Alvarez-Miranda, I. Ljubić, S. Raghavan, P. Toth			http://pubsonline.informs.org/doi/abs/10.1287/ijoc.2014.0606	publications/RRTLND.pdf
2014-01-01	Hop Constrained Steiner Trees with multiple Root Nodes	Eur. J. Oper. Res. 236(1): 100-112	L. Gouveia, M. Leitner, I. Ljubić			http://www.sciencedirect.com/science/article/pii/S0377221713009466	https://www.ads.tuwien.ac.at/publications/bib/pdf/leitner-13a.pdf
2014-01-01	A MIP-based Heuristic Approach to solve a Prize-Collecting Local Access Network Design Problem	Eur. J. Oper. Res. 235(3): 727-739	I. Ljubić. P. Putz, and J.J. Salazar-Gonzalez			http://www.sciencedirect.com/science/article/pii/S0377221713009028	publications/clan-preprint.pdf
2013-01-01	Layered Graph Approaches to the Hop Constrained Connected Facility Location Problem	INFORMS J. Comput. 25(2): 256-270	I. Ljubić, S. Gollowitzer			http://joc.journal.informs.org/content/25/2/256.abstract?etoc	publications/HCConFL_LG_IJOC.pdf
2013-01-01	Lagrangian Decompositions for the Two-Level FTTx Network Design Problem	EURO J. Comput. Optim. 1(3-4): 221-252	A. Bley, I. Ljubić, O. Maurer			http://link.springer.com/article/10.1007%2Fs13675-013-0014-z	http://opus4.kobv.de/opus4-matheon/frontdoor/index/index/docId/1241
2013-01-01	A cutting plane algorithm for the capacitated connected facility location problem	 Comput. Optim. Appl. 55(3): 647-674	S. Gollowitzer, B. Gendron, I. Ljubić			http://link.springer.com/article/10.1007%2Fs10589-013-9544-9	publications/CapConFL.pdf
2013-01-01	Exact Approaches for Solving Robust Prize-Collecting Steiner Tree Problems	Eur. J. Oper. Res. 229(3): 599-612	E. Alvarez-Miranda, I. Ljubić, P. Toth			http://www.sciencedirect.com/science/article/pii/S0377221713002701	publications/BC_RPCSTP.pdf
2013-01-01	A Note on the Bertsimas and Sim Algorithm for Robust Combinatorial Optimization Problems	4OR 11(4): 349-360	E. Alvarez-Miranda, I. Ljubić, P. Toth			http://link.springer.com/article/10.1007%2Fs10288-013-0231-6	publications/ANoteBSAlgorithm.pdf
2013-01-01	Enhanced Formulations and Branch-and-Cut for the Two Level Network Design Problem with Transition Facilities	Eur. J. Oper. Res. 225(2): 211-222	S. Gollowitzer, L. Gouveia, I. Ljubić			http://www.sciencedirect.com/science/article/pii/S0377221712007199	publications/TLNDF-EJOR.pdf
2012-01-01	QTL Mapping Using a Memetic Algorithm with Modifications of BIC as Fitness Function	Stat. App. Gene. Mol. Bio	F. Frommlet, I. Ljubić, H.B. Arnardóttir, M. Bogdan			http://www.degruyter.com/view/j/sagmb.2012.11.issue-4/1544-6115.1793/1544-6115.1793.xml	
2012-01-01	Exact Approaches to the Single-Source Network Loading Problem	Networks 59(1): 89-106	I. Ljubić. P. Putz, and J.J. Salazar-Gonzalez			http://onlinelibrary.wiley.com/doi/10.1002/net.20481/abstract	publications/SSNLP.pdf
2011-01-01	MIP Models for Connected Facility Location: A Theoretical and Computational Study	Comput. Oper. Res. 38(2): 435-449 	S. Gollowitzer, I. Ljubić			http://dx.doi.org/10.1016/j.cor.2010.07.002	publications/ConFL.pdf
2010-01-01	Orientation-based Models for {0,1,2}-Survivable Network Design: Theory and Practice	Math. Program. 124(1-2): 413-439	M. Chimani, M. Kandyba, I. Ljubić, and P. Mutzel			http://www.springerlink.com/content/628840r2qj186525/?p=4a7cc5f2a7e946b283a4f7913fdf30f0&pi=30	publications/sndp.pdf
2010-01-01	A Branch-and-Cut-and-Price Algorithm for Vertex Biconnectivity Augmentation	Networks 56(3): 169-182	I. Ljubić			http://www3.interscience.wiley.com/journal/123213719/abstract	publications/TR_March2009.pdf
2010-01-01	The regenerator location problem	Networks 55(3): 205-220	S. Chen, I. Ljubić, and S. Raghavan			https://onlinelibrary.wiley.com/doi/abs/10.1002/net.20366	publications/rlp.pdf
2009-01-01	Obtaining optimal k-cardinality trees fast	ACM J. Exp. Algorithmics 14	M. Chimani, M. Kandyba, I. Ljubić, and P. Mutzel			http://portal.acm.org/citation.cfm?id=1498698.1537600&coll=ACM&dl=ACM&CFID=70808892&CFTOKEN=62583844	publications/kCardinalityTrees_JEA.pdf
2006-01-01	An Algorithmic Framework for the Exact Solution of the Prize-Collecting Steiner Tree Problem	Math. Program. 105(2-3): 427-449	I. Ljubić, R. Weiskircher, U. Pferschy, G. Klau, P. Mutzel, and M.Fischetti			http://www.springerlink.com/content/bv873011l127803u/fulltext.pdf	http://www.ads.tuwien.ac.at/publications/bib/pdf/MPB_PCSTP.pdf
2003-01-01	A Memetic Algorithm for Minimum-Cost Vertex-Biconnectivity Augmentation of Graphs	J. Heuristics 9(5): 401-427	Ivana Ljubić, Günther R. Raidl				http://www.ads.tuwien.ac.at/publications/bib/pdf/ljubic-02.pdf
2002-01-01	Evolutionary local search for the edge-biconnectivity augmentation problem	Inf. Process. Lett. 82(1): 39-45	Günther R. Raidl, Ivana Ljubić				http://www.ads.tuwien.ac.at/publications/bib/pdf/raidl-02.pdf
2001-01-01	Solving the simple plant location problem by genetic algorithm	RAIRO Oper. Res. 35(1): 127-142	Jozef Kratica, Dusan Tosic, Vladimir Filipovic, Ivana Ljubić				
