category	date	title	venue	location	talk_url	venue_url	description
Presentation	2016-06-13	Generalized Benders Cuts for Congested Facility Location	TRISTAN 2016	Aruba		http://tristan-symposium.org/	
Presentation	2016-05-16	Exact Approaches for Network Design Problems with Relays	ISCO 2016	Vietri sul Mare, Italy		http://isco2016.it/	
Presentation	2016-03-21	Solving Minimum-Cost Shared Arborescence Problems	INFORMS Telecommunications Conference	Boca Raton, FL, USA		https://sites.psu.edu/informstelecom2016/	
Presentation	2016-02-10	Solving Congested Facility Location by Branch-and-Cut	ROADEF	Compiegne, France		http://roadef2016.utc.fr/papers/235/	
Presentation	2015-09-02	Exact  Approaches  to  the  Network  Design  Problem with Relays	OR 2015	Vienna, Austria		http://or2015.univie.ac.at	
Presentation	2015-07-14	ILP Formulations for the Lazy Bureaucrat Problem	EURO 2015	Glasgow, UK		www.euro2015.org	
Presentation	2015-05-20	A node-based layered graph approach for hop-constrained Steiner trees	INOC 2015	Warsaw, Poland		www.inoc2015.pl	
Presentation	2014-05-21	The Recoverable Robust Two-Level Network Design Problem	SIAM Conference on Optimization	San Diego, CA		http://www.siam.org/meetings/op14/	
Presentation	2014-05-21	The Recoverable Robust Facility Location Problem	ISCO 2014	Lissabon, Portugal		http://isco2014.fc.ul.pt/	
Presentation	2013-07-03	The Maximum Weight Connected Subgraph Problem	EURO-INFORMS Joint International Meeting	Rome, Italy		http://euro2013.org/	
Presentation	2012-08-19	Layered graph models for hop constrained trees with multiple roots	21st International Symposium on Mathematical Programming (ISMP)	Berlin, Germany		http://ismp2012.mathopt.org/	
Presentation	2012-07-08	Capacitated Network Design with Facility Location	25th European Conference on Operational Research (EURO 2012)	Vilnius, Lithuania		http://www.euro-2012.lt/welcome	
Presentation	2012-04-17	Capacitated Network Design and Facility Location	2nd International Symposium on Combinatorial Optimization (ISCO 2012)	Athens, Greece		http://isco12.cs.aueb.gr/	
Presentation	2012-03-15	On the Hop Constrained Steiner Tree Problem with Multiple Root Nodes	The 11th INFORMS Telecommunications Conference	Boca Raton, FL		http://www.informs.org/Community/Conferences/2012-INFORMS-Telecommunications-Conference	
Presentation	2012-03-15	Solving Two-Stage Network Design Problems by Two-Stage Branch-and-Cut	 The 11th INFORMS Telecommunications Conference	Boca Raton, FL		http://www.informs.org/Community/Conferences/2012-INFORMS-Telecommunications-Conference	
Presentation	2011-06-13	The Two Level Network Design Problem with Secondary Hop Constraints	Network Optimization - 5th International Conference, INOC 2011	Hamburg, Germany			
Presentation	2011-01-10	A Two Level Network Design Problem with Transition Nodes	15th Combinatorial Optimization Workshop	Aussois, France		http://www.iasi.cnr.it/aussois/web/home	
Presentation	2010-07-28	Solving Two-Stage Stochastic Steiner Tree Problems by Two-Stage Branch-and-Cut	Computational Management Science 2010	Vienna, Austria		http://www.univie.ac.at/cms2010/index.php	
Presentation	2010-07-11	The Generalized Regenerator Location Problem	EURO XXIV	Lisbon, Portugal		http://www.euro2010lisbon.org/	
Presentation	2010-05-05	MIP Models for Connected Facility Location:A Theoretical and Computational Study	The 10th INFORMS Telecommunications Conference	Montreal, Canada		https://symposia.cirrelt.ca/Informs-Telecom2010/	
Presentation	2010-05-10	The Generalized Regenerator Location Problem	Journées de l'Optimisation	Montréal, Canada		http://w1.cirrelt.ca/jopt2010/en/	
Presentation	2009-08-23	A Branch-and-cut-and-price Algorithm for Vertex-biconnectivity Augmentation	International Symposium of Mathematical Programming (ISMP)	Chicago, Illinois, USA		http://ismp2009.eecs.northwestern.edu/	
Presentation	2009-04-26	The Generalized Regenerator Location Problem	International Network Optimization Conference (INOC)	Pisa, Italy		http://www.di.unipi.it/INOC2009/	
Presentation	2009-01-11	Exact Approaches to the Single-source Network Loading Problem	13th Combinatorial Optimization Workshop	Aussois, France		http://makalu.informatik.uni-heidelberg.de/	
Presentation	2008-10-12	Benders Cuts for the Single-source Network Loading Problem	INFORMS Annual Meeting 2008	Washington, DC		https://informs.emeetingsonline.com/emeetings/formbuilder/clustersessiondtl.asp?csnno=8974&mmnno=176&ppnno=33931	
Presentation	2008-05-10	Strong Formulations for 2-Node-Connected Steiner Network Problems	SIAM Conference on Optimization	Boston, Massachusetts		http://www.siam.org/meetings/op08/	
Presentation	2008-03-27	Solving Connected Facility Location to Provable Optimality	Ninth INFORMS Telecommunications Conference	University of Maryland, College Park, Washington DC Area		http://telecom.section.informs.org/conference08/	
Presentation	2007-10-08	A Hybrid VNS for Connected Facility Location	HM 2007	Dormund, Germany		http://ls11-www.cs.uni-dortmund.de/hm2007/index.php	
Presentation	2007-07-22	Facility Location and Steiner Trees	Optimization	Porto, Portugal		http://www.fep.up.pt/opti2007/	
Presentation	2007-02-12	Connected Facility Location-VNS, Tabu-Search and Branch-and-Cut	Learning and Intelligent OptimizatioN (LION 2007)	Andalo (Trento), Italy		http://www.intelligent-optimization.org/	
Presentation	2005-01-22	Solving the Prize-Collecting Steiner Tree Problem to Optimality	Algorithm Engineering and Experiments (ALENEX 2005)	Vancouver, British Columbia, Canada		http://www.siam.org/meetings/alenex05/	
